Years,Hares,Lynx
1848,21,44
1849,12,20
1850,24,9
1851,50,5
1852,80,5
1853,80,6
1854,90,11
1855,69,23
1856,80,32
1857,93,34
1858,72,23
1859,27,15
1860,14,7
1861,16,4
1862,38,5
1863,5,5
1864,153,16
1865,145,36
1866,106,77
1867,46,68
1868,23,37
1869,2,16
1870,4,8
1871,8,5
1872,7,7
1873,60,11
1874,46,19
1875,50,31
1876,103,43
1877,87,27
1878,68,18
1879,17,15
1880,10,9
1881,17,8
1882,16,8
1883,15,27
1884,46,52
1885,55,74
1886,137,79
1887,137,34
1888,95,19
1889,37,12
1890,22,8
1891,50,9
1892,54,13
1893,65,20
1894,60,37
1895,81,56
1896,95,39
1897,56,27
1898,18,15
1899,5,4
1900,2,6
1901,15,9
1902,2,19
1903,6,36
1904,45,59
1905,50,61
1906,58,39
1907,20,10
